"Name"
"World"
"Afghanistan"
"Angola"
"Albania"
"Andorra"
"United Arab Emirates"
"Argentina"
"Armenia"
"American Samoa"
"Antigua and Barbuda"
"Australia"
"Austria"
"Azerbaijan"
"Burundi"
"Belgium"
"Benin"
"Burkina Faso"
"Bangladesh"
"Bulgaria"
"Bahrain"
"Bahamas"
"Bosnia and Herzegovina"
"Belarus"
"Belize"
"Bermuda"
"Bolivia"
"Brazil"
"Barbados"
"Brunei"
"Bhutan"
"Botswana"
"Costa Atlantica"
"Central African Republic"
"Canada"
"Switzerland"
"Chile"
"China"
"Cote d'Ivoire"
"Cameroon"
"Congo, the Democratic Republic of the"
"Congo"
"Colombia"
"Comoros"
"Cape Verde"
"Costa Rica"
"Cuba"
"Cyprus"
"Czech Republic"
"Germany"
"Djibouti"
"Dominica"
"Denmark"
"Dominican Republic"
"Diamond Princess"
"Algeria"
"Ecuador"
"Egypt"
"Eritrea"
"Spain"
"Estonia"
"Ethiopia"
"Finland"
"Fiji"
"France"
"Gabon"
"United Kingdom"
"Georgia"
"Ghana"
"Guinea"
"Gambia"
"Guinea-Bissau"
"Equatorial Guinea"
"Grand Princess"
"Greece"
"Grenada"
"Guatemala"
"Guam"
"Guyana"
"Honduras"
"Croatia"
"Haiti"
"Hungary"
"Indonesia"
"India"
"Ireland"
"Iran"
"Iraq"
"Iceland"
"Israel"
"Italy"
"Jamaica"
"Jordan"
"Japan"
"Kazakhstan"
"Kenya"
"Kyrgyzstan"
"Cambodia"
"Saint Kitts and Nevis"
"Korea, South"
"Kuwait"
"Laos"
"Lebanon"
"Liberia"
"Libya"
"Saint Lucia"
"Liechtenstein"
"Sri Lanka"
"Lesotho"
"Lithuania"
"Luxembourg"
"Latvia"
"Morocco"
"Monaco"
"Moldova"
"Madagascar"
"Maldives"
"Mexico"
"Marshall Islands"
"North Macedonia"
"Mali"
"Malta"
"Myanmar"
"Montenegro"
"Mongolia"
"Northern Mariana Islands"
"Mozambique"
"Mauritania"
"MS Zaandam"
"Mauritius"
"Malawi"
"Malaysia"
"Namibia"
"Niger"
"Nigeria"
"Nicaragua"
"Netherlands"
"Norway"
"Nepal"
"New Zealand"
"Oman"
"Pakistan"
"Panama"
"Peru"
"Philippines"
"Papua New Guinea"
"Poland"
"Puerto Rico"
"Portugal"
"Paraguay"
"Palestine"
"Qatar"
"Kosovo"
"Romania"
"Russia"
"Rwanda"
"Saudi Arabia"
"Sudan"
"Senegal"
"Singapore"
"Solomon Islands"
"Sierra Leone"
"El Salvador"
"San Marino"
"Somalia"
"Serbia"
"South Sudan"
"Sao Tome and Principe"
"Suriname"
"Slovakia"
"Slovenia"
"Sweden"
"Swaziland"
"Seychelles"
"Syria"
"Chad"
"Togo"
"Thailand"
"Tajikistan"
"Timor-Leste"
"Trinidad and Tobago"
"Tunisia"
"Turkey"
"Taiwan"
"Tanzania"
"Uganda"
"Ukraine"
"Uruguay"
"United States"
"Uzbekistan"
"Holy See"
"Saint Vincent and the Grenadines"
"Venezuela"
"Virgin Islands, U.S."
"Vietnam"
"Vanuatu"
"Samoa"
"Yemen"
"South Africa"
"Zambia"
"Zimbabwe"
